	L	s	dL	gs	utility
0	0.0	0.0	0.0	0.0	13.385373993173738
1	0.0	0.05	1.1	0.22	24.92524610675576
2	0.0	0.1	1.4000000000000001	0.26	32.44460923725095
3	0.0	0.15	1.5	0.32	38.012949066451846
4	0.0	0.2	1.7000000000000002	0.36	42.41447197802425
5	0.0	0.25	1.8	0.4	46.03098270729778
6	0.0	0.3	1.9000000000000001	0.42	49.084953002836684
7	0.0	0.35	1.9000000000000001	0.46	51.71653769759531
8	0.0	0.4	2.0	0.5	54.0200145016827
9	0.0	0.45	2.0	0.5	56.05375185227828
10	0.0	0.5	2.0	0.52	57.85596079281585
11	0.0	0.55	2.1	0.56	59.47877519692537
12	0.0	0.6	2.1	0.6	60.94808347843379
13	0.0	0.65	2.2	0.62	62.290744291734605
14	0.0	0.7	2.2	0.66	63.52425064590613
15	0.0	0.75	2.2	0.68	64.66159295935171
16	0.0	0.8	2.3000000000000003	0.7000000000000001	65.71306232250511
17	0.0	0.85	2.3000000000000003	0.74	66.69199010457486
18	0.0	0.9	2.3000000000000003	0.76	67.60038482830915
19	0.0	0.95	2.3000000000000003	0.8	68.44519503959545
20	0.0	1.0	2.3000000000000003	0.84	69.22626499212427
21	0.5	0.0	-0.5	0.0	28.991153993101005
22	0.5	0.05	-1.1102230246251565e-16	0.12	60.663232074538556
23	0.5	0.1	0.4999999999999998	0.22	72.68004066871575
24	0.5	0.15	0.7999999999999998	0.26	80.39112165878826
25	0.5	0.2	0.9999999999999996	0.32	86.06148075669599
26	0.5	0.25	1.1999999999999997	0.36	90.52340624165403
27	0.5	0.3	1.2999999999999996	0.38	94.18032881380049
28	0.5	0.35	1.3999999999999995	0.42	97.2620582153889
29	0.5	0.4	1.3999999999999995	0.46	99.91325731312602
30	0.5	0.45	1.4999999999999996	0.5	102.22993951045972
31	0.5	0.5	1.4999999999999996	0.5	104.273331508153
32	0.5	0.55	1.4999999999999996	0.52	106.08161254704976
33	0.5	0.6	1.5999999999999996	0.56	107.70718277207436
34	0.5	0.65	1.5999999999999996	0.6	109.17713194207258
35	0.5	0.7	1.6999999999999993	0.62	110.51861349579926
36	0.5	0.75	1.6999999999999993	0.66	111.74930753528454
37	0.5	0.8	1.6999999999999993	0.68	112.88189449010738
38	0.5	0.85	1.7999999999999994	0.7000000000000001	113.92700982654686
39	0.5	0.9	1.7999999999999994	0.74	114.89698761571546
40	0.5	0.95	1.7999999999999994	0.78	115.79321705318428
41	0.5	1.0	1.7999999999999994	0.8200000000000001	116.62086233911147
42	1.0	0.0	-1.0	0.0	44.18471632302585
43	1.0	0.05	-2.220446049250313e-16	0.08	93.0883896700727
44	1.0	0.1	-2.220446049250313e-16	0.16	112.72644674735348
45	1.0	0.15	0.09999999999999964	0.22	123.29183104503647
46	1.0	0.2	0.3999999999999997	0.28	130.37865072578848
47	1.0	0.25	0.5999999999999996	0.32	135.68945782250447
