	L	s	dL	gs	utility
0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.05	0.0	0.0	0.0
2	0.0	0.1	0.0	0.0	0.0
3	0.0	0.15	0.0	0.0	0.0
4	0.0	0.2	0.0	0.0	0.0
5	0.0	0.25	0.0	0.0	0.0
6	0.0	0.3	0.0	0.0	0.0
7	0.0	0.35	0.0	0.0	0.0
8	0.0	0.4	0.0	0.0	0.0
9	0.0	0.45	0.0	0.0	0.0
10	0.0	0.5	0.0	0.0	0.0
11	0.0	0.55	0.0	0.0	0.0
12	0.0	0.6	0.0	0.0	0.0
13	0.0	0.65	0.0	0.0	0.0
14	0.0	0.7	0.0	0.0	0.0
15	0.0	0.75	0.0	0.0	0.0
16	0.0	0.8	0.0	0.0	0.0
17	0.0	0.85	0.0	0.0	0.0
18	0.0	0.9	0.0	0.0	0.0
19	0.0	0.95	0.0	0.0	0.0
20	0.0	1.0	0.0	0.0	0.0
21	0.5	0.0	-0.5	0.0	125.22550867501938
22	0.5	0.05	-1.1102230246251565e-16	0.08	160.7171577999886
23	0.5	0.1	-1.1102230246251565e-16	0.16	175.58919792991105
24	0.5	0.15	-1.1102230246251565e-16	0.22	183.64298873884817
25	0.5	0.2	-1.1102230246251565e-16	0.28	188.65855222137736
26	0.5	0.25	-1.1102230246251565e-16	0.36	192.0674549769886
27	0.5	0.3	-1.1102230246251565e-16	0.42	194.5222993860506
28	0.5	0.35	-1.1102230246251565e-16	0.5	196.36650150646312
29	0.5	0.4	-1.1102230246251565e-16	0.56	197.79518350277792
30	0.5	0.45	-1.1102230246251565e-16	0.64	198.9284783046773
31	0.5	0.5	-1.1102230246251565e-16	0.72	199.84361352772459
32	0.5	0.55	-1.1102230246251565e-16	0.8	200.5925835336174
33	0.5	0.6	-1.1102230246251565e-16	0.88	201.21153592551877
34	0.5	0.65	-1.1102230246251565e-16	0.96	201.7260196338165
35	0.5	0.7	-1.1102230246251565e-16	1.0	202.15022104222868
36	0.5	0.75	-1.1102230246251565e-16	1.0	202.4899252072178
37	0.5	0.8	-1.1102230246251565e-16	1.0	202.75234959809654
38	0.5	0.85	-1.1102230246251565e-16	1.0	202.94655223511654
39	0.5	0.9	-1.1102230246251565e-16	1.0	203.08311573913815
40	0.5	0.95	-1.1102230246251565e-16	1.0	203.1734883839796
41	0.5	1.0	-1.1102230246251565e-16	1.0	203.2290626468175
42	1.0	0.0	-1.0	0.0	220.55769137176796
43	1.0	0.05	-2.220446049250313e-16	0.06	274.0941559447925
44	1.0	0.1	-2.220446049250313e-16	0.1	302.07604664357206
45	1.0	0.15	-2.220446049250313e-16	0.14	319.5816881717986
46	1.0	0.2	-2.220446049250313e-16	0.16	331.6635568390858
47	1.0	0.25	-2.220446049250313e-16	0.2	340.54850226776944
