	L	s	dL	gs	utility
106	0.8	0.08	6.199999999999998	0.2	46.264737963023016
107	0.8	0.12	6.199999999999998	0.2	53.94591548005613
108	0.8	0.16	6.199999999999998	0.2	61.62709299708925
109	0.8	0.2	6.199999999999998	0.2	69.30827051412237
110	0.8	0.24	6.199999999999998	0.2	76.98944803115549
111	0.8	0.28	6.199999999999998	0.2	84.67062554818861
112	0.8	0.32	6.199999999999998	0.2	92.35180306522172
113	0.8	0.36	6.199999999999998	0.2	100.03298058225484
114	0.8	0.4	6.199999999999998	0.2	107.71415809928796
115	0.8	0.44	6.199999999999998	0.2	112.24215462918104
116	0.8	0.48	6.199999999999998	0.24	116.77015115907413
117	0.8	0.52	6.199999999999998	0.28	121.29814768896722
118	0.8	0.56	6.199999999999998	0.28	125.82614421886032
119	0.8	0.6	6.199999999999998	0.28	130.3541407487534
120	0.8	0.64	6.199999999999998	0.28	134.8821372786465
121	0.8	0.68	6.199999999999998	0.28	139.41013380853957
122	0.8	0.72	6.199999999999998	0.28	143.93813033843267
123	0.8	0.76	6.199999999999998	0.28	148.46612686832574
124	0.8	0.8	6.199999999999998	0.28	152.99412339821885
125	0.8	0.84	6.199999999999998	0.28	152.99412339821885
126	0.8	0.88	6.199999999999998	0.28	152.99412339821885
127	0.8	0.92	6.199999999999998	0.36	152.99412339821885
128	0.8	0.96	6.199999999999998	0.44	152.99412339821885
129	0.8	1.0	6.199999999999998	0.56	152.99412339821885
130	1.0	0.0	-1.0	0.0	33.76542003439508
131	1.0	0.04	-2.220446049250313e-16	0.2	42.17944019141184
132	1.0	0.08	-2.220446049250313e-16	0.2	50.593460348428614
133	1.0	0.12	-2.220446049250313e-16	0.2	59.00748050544538
134	1.0	0.16	-2.220446049250313e-16	0.2	67.42150066246215
135	1.0	0.2	-2.220446049250313e-16	0.2	75.83552081947892
136	1.0	0.24	-2.220446049250313e-16	0.2	84.24954097649568
137	1.0	0.28	-2.220446049250313e-16	0.2	92.66356113351246
138	1.0	0.32	-2.220446049250313e-16	0.2	101.07758129052922
139	1.0	0.36	0.3999999999999997	0.2	109.49160144754599
140	1.0	0.4	4.399999999999999	0.2	117.90562160456275
141	1.0	0.44	5.999999999999998	0.2	122.7519125727727
142	1.0	0.48	5.799999999999999	0.24	127.59820354098264
143	1.0	0.52	5.999999999999998	0.28	132.44449450919257
144	1.0	0.56	5.999999999999998	0.28	137.29078547740252
145	1.0	0.6	5.999999999999998	0.28	142.13707644561245
146	1.0	0.64	5.999999999999998	0.28	146.9833674138224
147	1.0	0.68	5.999999999999998	0.28	151.82965838203233
148	1.0	0.72	5.999999999999998	0.28	156.6759493502423
149	1.0	0.76	5.999999999999998	0.28	161.52224031845225
150	1.0	0.8	5.999999999999998	0.28	166.36853128666218
151	1.0	0.84	5.999999999999998	0.28	166.36853128666218
152	1.0	0.88	5.999999999999998	0.28	166.36853128666218
153	1.0	0.92	5.999999999999998	0.36	166.36853128666218
154	1.0	0.96	5.999999999999998	0.44	166.36853128666218
155	1.0	1.0	5.999999999999998	0.56	166.36853128666218
156	1.2	0.0	-1.2	0.0	38.0137215765911
157	1.2	0.04	-2.220446049250313e-16	0.2	47.63875775592982
158	1.2	0.08	-2.220446049250313e-16	0.2	57.263793935268524
159	1.2	0.12	-2.220446049250313e-16	0.2	66.88883011460723
160	1.2	0.16	-2.220446049250313e-16	0.2	76.51386629394595
161	1.2	0.2	-2.220446049250313e-16	0.2	86.13890247328467
162	1.2	0.24	-2.220446049250313e-16	0.2	95.76393865262338
163	1.2	0.28	-2.220446049250313e-16	0.2	105.38897483196209
164	1.2	0.32	-2.220446049250313e-16	0.2	115.0140110113008
165	1.2	0.36	-2.220446049250313e-16	0.2	124.6390471906395
166	1.2	0.4	-2.220446049250313e-16	0.2	134.26408336997824
167	1.2	0.44	2.799999999999999	0.2	139.20675302459767
168	1.2	0.48	5.599999999999999	0.24	144.14942267921714
169	1.2	0.52	5.799999999999998	0.28	149.0920923338366
170	1.2	0.56	5.799999999999998	0.28	154.03476198845607
171	1.2	0.6	5.799999999999998	0.28	158.9774316430755
172	1.2	0.64	5.799999999999998	0.28	163.92010129769494
173	1.2	0.68	5.799999999999998	0.28	168.8627709523144
174	1.2	0.72	5.799999999999998	0.28	173.80544060693387
175	1.2	0.76	5.799999999999998	0.28	178.7481102615533
