	L	s	dL	gs	utility
0	0.0	0.0	0.0	0.0	2.2119971885371243
1	0.0	0.05	0.5	0.5	4.1742962867963795
2	0.0	0.1	0.6000000000000001	0.62	5.45960366358553
3	0.0	0.15	0.7000000000000001	0.72	6.405951856229475
4	0.0	0.2	0.7000000000000001	0.8200000000000001	7.1523634956235185
5	0.0	0.25	0.8	0.9	7.760973133994711
6	0.0	0.3	0.8	0.98	8.27472895314485
7	0.0	0.35	0.8	1.0	8.71242819238507
8	0.0	0.4	0.8	1.0	9.085423650219187
9	0.0	0.45	0.9	1.0	9.408055866841076
10	0.0	0.5	0.9	1.0	9.68750480405846
11	0.0	0.55	0.9	1.0	9.929236838775086
12	0.0	0.6	0.9	1.0	10.137966676646036
13	0.0	0.65	0.9	1.0	10.317761917229834
14	0.0	0.7	0.9	1.0	10.472105108627728
15	0.0	0.75	0.9	1.0	10.603953252336764
16	0.0	0.8	1.0	1.0	10.716148843055175
17	0.0	0.85	1.0	1.0	10.812420227340093
18	0.0	0.9	1.0	1.0	10.894162528874785
19	0.0	0.95	1.0	1.0	10.962517299864233
20	0.0	1.0	1.0	1.0	11.018421211581103
21	0.5	0.0	-0.5	0.0	17.667974084788064
22	0.5	0.05	-1.1102230246251565e-16	0.12	39.628298625423874
23	0.5	0.1	-1.1102230246251565e-16	0.26	46.70177027126016
24	0.5	0.15	-1.1102230246251565e-16	0.38	49.99558255299521
25	0.5	0.2	-1.1102230246251565e-16	0.52	51.86594414414084
26	0.5	0.25	0.09999999999999987	0.64	53.096417427358396
27	0.5	0.3	0.19999999999999984	0.74	54.00438491324112
28	0.5	0.35	0.19999999999999984	0.84	54.71752462355596
29	0.5	0.4	0.2999999999999998	0.92	55.29993843304223
30	0.5	0.45	0.2999999999999998	1.0	55.789418718360864
31	0.5	0.5	0.2999999999999998	1.0	56.202423562108706
32	0.5	0.55	0.3999999999999998	1.0	56.55248859229074
33	0.5	0.6	0.3999999999999998	1.0	56.852500439846125
34	0.5	0.65	0.3999999999999998	1.0	57.10884669323301
35	0.5	0.7	0.3999999999999998	1.0	57.327012665228466
36	0.5	0.75	0.3999999999999998	1.0	57.511705411007895
37	0.5	0.8	0.3999999999999998	1.0	57.666965102583816
38	0.5	0.85	0.3999999999999998	1.0	57.7962370628146
39	0.5	0.9	0.4999999999999998	1.0	57.903548458501085
40	0.5	0.95	0.4999999999999998	1.0	57.992438430581004
41	0.5	1.0	0.4999999999999998	1.0	58.06468170327358
42	1.0	0.0	-1.0	0.0	29.91608876686632
43	1.0	0.05	-2.220446049250313e-16	0.1	64.39416380295569
44	1.0	0.1	-2.220446049250313e-16	0.16	78.37535421646365
45	1.0	0.15	-2.220446049250313e-16	0.24	85.83141367800782
46	1.0	0.2	-2.220446049250313e-16	0.3	90.44400489504636
47	1.0	0.25	-2.220446049250313e-16	0.38	93.57769160787078
48	1.0	0.3	-2.220446049250313e-16	0.46	95.84299901785043
49	1.0	0.35	-2.220446049250313e-16	0.52	97.55680688141472
50	1.0	0.4	-2.220446049250313e-16	0.6	98.89805158763531
51	1.0	0.45	-2.220446049250313e-16	0.66	99.97581928373361
52	1.0	0.5	-2.220446049250313e-16	0.74	100.86055219590394
53	1.0	0.55	-2.220446049250313e-16	0.8	101.59909924130649
54	1.0	0.6	-2.220446049250313e-16	0.88	102.22444024610888
55	1.0	0.65	-2.220446049250313e-16	0.96	102.76014057522629
56	1.0	0.7	-2.220446049250313e-16	1.0	103.22275407608534
57	1.0	0.75	-2.220446049250313e-16	1.0	103.6214277836296
58	1.0	0.8	-2.220446049250313e-16	1.0	103.96314303003165
59	1.0	0.85	-2.220446049250313e-16	1.0	104.25397596460276
60	1.0	0.9	-2.220446049250313e-16	1.0	104.49899716428358
61	1.0	0.95	-2.220446049250313e-16	1.0	104.70251095887163
62	1.0	1.0	-2.220446049250313e-16	1.0	104.86781483388069
63	1.5	0.0	-1.5	0.0	39.101061388616806
64	1.5	0.05	1.3322676295501878e-15	0.08	81.8308788757002
65	1.5	0.1	1.3322676295501878e-15	0.12	101.43931277618505
66	1.5	0.15	1.3322676295501878e-15	0.18	112.79631639037075
67	1.5	0.2	1.3322676295501878e-15	0.22	120.20651149409677
68	1.5	0.25	1.3322676295501878e-15	0.28	125.44918382927747
69	1.5	0.3	1.3322676295501878e-15	0.32	129.35521157392856
70	1.5	0.35	1.3322676295501878e-15	0.38	132.38423517371663
71	1.5	0.4	1.3322676295501878e-15	0.42	134.8031530251167
72	1.5	0.45	1.3322676295501878e-15	0.48	136.78003854305427
73	1.5	0.5	1.3322676295501878e-15	0.52	138.42677169654547
74	1.5	0.55	1.3322676295501878e-15	0.56	139.81892994145784
75	1.5	0.6	1.3322676295501878e-15	0.62	141.0116526175931
76	1.5	0.65	1.3322676295501878e-15	0.66	142.04392470872037
77	1.5	0.7	1.3322676295501878e-15	0.68	142.9408966611938
78	1.5	0.75	1.3322676295501878e-15	0.72	143.72435207637795
79	1.5	0.8	1.3322676295501878e-15	0.76	144.4149221036976
80	1.5	0.85	1.3322676295501878e-15	0.8200000000000001	145.02796215558368
81	1.5	0.9	1.3322676295501878e-15	0.88	145.57479940791063
82	1.5	0.95	1.3322676295501878e-15	0.9400000000000001	146.06326120374314
83	1.5	1.0	1.3322676295501878e-15	1.0	146.4988337605244
84	2.0	0.0	-2.0	0.0	45.987401121763725
85	2.0	0.05	1.7763568394002505e-15	0.06	94.05684792753466
86	2.0	0.1	1.7763568394002505e-15	0.1	118.30246218482964
87	2.0	0.15	1.7763568394002505e-15	0.14	133.11340637114142
88	2.0	0.2	1.7763568394002505e-15	0.18	143.17399541511153
89	2.0	0.25	1.7763568394002505e-15	0.22	150.48796714860393
90	2.0	0.3	1.7763568394002505e-15	0.26	156.0621169830527
91	2.0	0.35	1.7763568394002505e-15	0.3	160.4602195457652
92	2.0	0.4	1.7763568394002505e-15	0.34	164.02373214500852
93	2.0	0.45	1.7763568394002505e-15	0.38	166.97214469613343
94	2.0	0.5	1.7763568394002505e-15	0.4	169.45393394267165
95	2.0	0.55	1.7763568394002505e-15	0.44	171.57221651788683
96	2.0	0.6	1.7763568394002505e-15	0.48	173.401177332756
97	2.0	0.65	1.7763568394002505e-15	0.5	174.99364817295907
98	2.0	0.7	1.7763568394002505e-15	0.52	176.38301826548008
99	2.0	0.75	1.7763568394002505e-15	0.56	177.60556605303427
100	2.0	0.8	1.7763568394002505e-15	0.6	178.69047770502343
101	2.0	0.85	1.7763568394002505e-15	0.64	179.65917968795995
102	2.0	0.9	1.7763568394002505e-15	0.68	180.527489454292
103	2.0	0.95	1.7763568394002505e-15	0.72	181.3067268078882
104	2.0	1.0	1.7763568394002505e-15	0.76	182.00448412028828
105	2.5	0.0	-2.5	0.0	51.31073902268578
106	2.5	0.05	2.220446049250313e-15	0.06	103.26253270512562
107	2.5	0.1	2.220446049250313e-15	0.1	131.09277009568814
108	2.5	0.15	2.220446049250313e-15	0.14	148.72673160433303
109	2.5	0.2	2.220446049250313e-15	0.16	161.10267520954585
110	2.5	0.25	2.220446049250313e-15	0.2	170.28749647375034
111	2.5	0.3	2.220446049250313e-15	0.22	177.4215830223999
112	2.5	0.35	2.220446049250313e-15	0.26	183.1291967412259
113	2.5	0.4	2.220446049250313e-15	0.28	187.8157799739424
114	2.5	0.45	2.220446049250313e-15	0.3	191.73214938847246
115	2.5	0.5	2.220446049250313e-15	0.34	195.0617373177172
116	2.5	0.55	2.220446049250313e-15	0.36	197.9247556447792
117	2.5	0.6	2.220446049250313e-15	0.4	200.4155620693193
118	2.5	0.65	2.220446049250313e-15	0.4	202.59332768357933
119	2.5	0.7	2.220446049250313e-15	0.42	204.50355337120237
120	2.5	0.75	2.220446049250313e-15	0.46	206.19760827139407
121	2.5	0.8	2.220446049250313e-15	0.48	207.70868884789263
122	2.5	0.85	2.220446049250313e-15	0.52	209.06481099816506
123	2.5	0.9	2.220446049250313e-15	0.56	210.28530983085892
124	2.5	0.95	2.220446049250313e-15	0.58	211.38484935092575
125	2.5	1.0	2.220446049250313e-15	0.62	212.37352936779604
126	3.0	0.0	-3.0	0.0	55.265283386421565
127	3.0	0.05	2.6645352591003757e-15	0.06	109.59896641797596
128	3.0	0.1	2.6645352591003757e-15	0.08	140.1638903391762
129	3.0	0.15	2.6645352591003757e-15	0.12	160.3505279132297
130	3.0	0.2	2.6645352591003757e-15	0.14	174.7980745165382
