	L	s	dL	gs
0	8.0	0.3	-2.7000000000000184	0.059999999999999984
1	5.299999999999981	0.2841000000000001	-0.09540000000001198	0.059999999999999984
2	5.204599999999969	0.2684862000000002	-0.12895446959999773	0.059999999999999984
3	5.075645530399972	0.2532592634088003	-0.0707145562145511	0.05999999999999997
4	5.00493097418542	0.23824447048624403	-0.09897521029548538	0.059999999999999984
5	4.905955763889935	0.22352660319457424	-0.17195244836654447	0.059999999999999984
6	4.73400331552339	0.20932459324800406	-0.1522908806436888	0.059999999999999984
7	4.581712434879702	0.19557945594336495	-0.1036240077037428	0.060000000000000005
8	4.478088427175959	0.18214519066183707	-0.1365788434241578	0.06000000000000002
9	4.341509583751801	0.16912066191058167	-0.16872943835918341	0.06000000000000002
10	4.172780145392617	0.1566023214744038	-0.1199721152856761	0.06000000000000002
11	4.052808030106942	0.14444389738408298	-0.055705883991134464	0.05779043957247038
12	3.997102146115807	0.14998276384848538	-3.4272511631209716e-05	0.059993145970253986
13	3.9970678736041756	0.137992930028778	-0.023873314955243946	0.0554546558594406
14	3.9731945586489315	0.12697632318315408	-0.043578714359288666	0.052086930916543074
15	3.9296158442896427	0.11674224173265069	-0.05715223958882903	0.05009015637717982
16	3.8724636047008136	0.24369869259280547	3.4394386047694187e-15	0.07747947703712216
17	3.872463604700817	0.22869686984593005	3.4394386047694215e-15	0.071478747938372
18	3.8724636047008207	0.2830425765542605	3.4394386047694246e-15	0.07999999999999997
19	3.8724636047008243	0.2675527221354572	3.4394386047694274e-15	0.08
20	3.872463604700828	0.2520628677166539	3.439438604769431e-15	0.07999999999999997
21	3.8724636047008314	0.2365730132978506	3.4394386047694337e-15	0.07462920531914022
22	3.872463604700835	0.22212306922554478	3.4394386047694372e-15	0.06884922769021788
23	3.8724636047008385	0.2087922628034383	3.4394386047694396e-15	0.06351690512137528
24	3.872463604700842	0.19649391763515017	3.4394386047694455e-15	0.06000000000000002
25	3.8724636047008456	0.18487652682104763	3.4394386047694487e-15	0.06000000000000002
26	3.872463604700849	0.3775848682099839	3.4394386047694542e-15	0.09332094337091681
27	3.8724636047008527	0.35951577037197263	3.439438604769457e-15	0.08793687831936627
28	3.8724636047008563	0.34248915233183497	3.439438604769456e-15	0.08433513066217461
29	3.87246360470086	0.32615991612748685	3.439438604769459e-15	0.08266907312338191
30	3.8724636047008634	0.3101532672822543	3.439438604769463e-15	0.08103592888774985
31	3.872463604700867	0.2944628330177073	3.439438604769466e-15	0.07999999999999997
32	3.8724636047008705	0.27897297859890385	3.4394386047694688e-15	0.07999999999999997
33	3.872463604700874	0.26348312418010034	3.439438604769472e-15	0.07999999999999997
34	3.8724636047008776	0.24799326976129682	3.4394386047694747e-15	0.0791973079045187
35	3.872463604700881	0.23265883513876992	3.4394386047694783e-15	0.07306353405550794
36	3.8724636047008847	0.21851204131573101	3.439438604769482e-15	0.06740481652629238
37	3.8724636047008882	0.2054609063767506	3.4394386047694846e-15	0.06218436255070022
38	3.872463604700892	0.193420572338795	3.4394386047694897e-15	0.06000000000000002
39	3.8724636047008953	0.32040699825019037	3.4394386047694905e-15	0.08208210799656344
40	3.872463604700899	0.30451399945949936	3.439438604769494e-15	0.08046055937555728
41	3.8724636047009025	0.2889349700697133	3.439438604769497e-15	0.07999999999999997
42	3.872463604700906	0.2734451156509097	3.4394386047695004e-15	0.08
43	3.8724636047009096	0.25795526123210605	3.4394386047695035e-15	0.08
44	3.872463604700913	0.2424654068133024	3.4394386047695067e-15	0.07698616272532094
45	3.8724636047009167	0.23490120376095447	3.43943860476951e-15	0.07396048150438175
46	3.87246360470092	0.22058074012036077	3.4394386047695126e-15	0.06823229604814429
47	3.8724636047009238	0.2073693859647799	3.439438604769516e-15	0.06294775438591194
48	3.8724636047009273	0.19518124157192507	3.4394386047695213e-15	0.06000000000000002
49	3.872463604700931	0.18356385075782228	3.439438604769524e-15	0.06000000000000002
50	3.8724636047009344	0.17194645994371946	3.4394386047695276e-15	0.06000000000000002
51	3.872463604700938	0.16032906912961664	3.4394386047695303e-15	0.06000000000000002
52	3.8724636047009415	0.14871167831551382	-0.0019194117544689957	0.059618095904933284
53	3.8705441929464723	0.13717395457054554	-0.01901046660940454	0.05639296996481227
54	3.8515337263370677	0.12631398328315616	-0.03330573487421338	0.053969957179554544
55	3.8182279914628543	0.11601050322310481	-0.0432656371605747	0.05252333435574011
56	3.7749623543022794	0.10609682272733728	-0.04828688393696335	0.052038581312949826
57	3.726675470365316	0.09640027750275823	-0.10878670967839513	0.05418405403283977
58	3.6178887606869212	0.08659868349806504	-0.2364740166682515	0.05463947339922602
59	3.3814147440186697	0.0773607474501871	-0.2525171782850847	0.05094429898007483
60	3.128897565733585	0.0693907727968491	-0.15590937141763642	0.04775630911873963
61	2.9729881943159486	0.0622918256361433	-0.07134208521324353	0.04491673025445732
62	2.901646109102705	0.05577520285732021	-0.07105087079285254	0.04231008114292808
63	2.8305952383098525	0.049787067146536426	-0.0778920037341035	0.039829653717229144
64	2.752703234575749	0.044305106315563995	-0.3583112200108997	0.03544408505245119
65	2.394392014564849	0.04006175460490667	-0.47592110825594547	0.03466236251961585
66	1.9184709063089036	0.03673681790301591	-0.5089005795628206	0.04408418148361909
67	1.409570326746083	0.03362983019810598	-0.4614981119308916	0.041752854316390246
68	0.9480722148151914	0.031650594144776174	-0.347931236994098	0.048105333474620704
69	0.6001409778210934	0.03020709505128274	-0.23757066659686285	0.03504702673255519
70	0.36257031122423056	0.02957174448178742	-0.14813357922012887	0.02029205838827143
