	L	s	dL	gs
0	1.0	8.765349032800673	1.2999999999999992	0.256
1	2.299999999999999	8.612594781732387	0.0564480000000024	0.23632722329599987
2	2.356448000000001	8.486781014693182	0.02452750107079349	0.21893326744991162
3	2.380975501070795	8.331420331640143	0.007927803887034906	0.19776516544772546
4	2.3889033049578297	8.173736135259292	2.121772362213852e-15	0.17886749115398135
5	2.388903304957832	8.00490234381339	2.121772362213854e-15	0.1617756055232908
6	2.388903304957834	7.824636365350784	2.121772362213856e-15	0.14631695437544495
7	2.3889033049578363	7.632738965869901	2.1217723622138566e-15	0.13233547214029018
8	2.3889033049578385	7.4291090213249795	2.121772362213858e-15	0.11969000626992628
9	2.3889033049578408	7.213757952381867	2.12177236221386e-15	0.10825289220798011
10	2.388903304957843	6.969551017506609	2.121772362213863e-15	0.09718262504431421
11	2.388903304957845	6.701658162090158	2.121772362213865e-15	0.08686454139973182
12	2.3889033049578474	8.306732175126285	0.006131790937582455	0.19523725205804854
13	2.39503509589543	8.147272421817656	2.1272184865987408e-15	0.1765332492298402
14	2.395035095895432	7.9765669702298325	2.127218486598743e-15	0.1596211161299232
15	2.3950350958954343	7.794341333019322	2.127218486598745e-15	0.14432918912283646
16	2.3950350958954365	8.757541994649056	0.06406081865203146	0.28533373240508403
17	2.459095914547468	8.6101914606603	0.019223874029107257	0.25572930185715825
18	2.478319788576575	8.561212952917941	0.009382682583334124	0.24753907061233235
19	2.4877024711599094	8.470314732401297	0.0038075071391647764	0.23148729168265866
20	2.491509978299074	8.39384668207366	0.001649314495124683	0.21912663840344923
21	2.4931592927941986	8.240808797140005	0.000581470562422759	0.19725067498757978
22	2.4937407633566213	8.076651521774217	2.2148867303398683e-15	0.17757499303493435
23	2.4937407633566235	7.900367127076995	2.21488673033987e-15	0.15986195308757487
24	2.4937407633566258	7.7116431684440805	2.214886730339872e-15	0.14391578233060323
25	2.493740763356628	7.510268332041855	2.2148867303398726e-15	0.12956023621507565
26	2.49374076335663	7.647583821077445	2.2148867303398746e-15	0.13908325463445376
27	2.4937407633566324	7.442070910869138	2.2148867303398766e-15	0.12520975137116377
28	2.4937407633566346	7.223814111406989	2.214886730339879e-15	0.11272012493260285
29	2.493740763356637	6.992906994715769	2.214886730339881e-15	0.10147633411679938
30	2.493740763356639	6.748154415901496	2.2148867303398833e-15	0.09129842347041925
31	2.4937407633566413	6.4910819785438	2.2148867303398852e-15	0.082134436692861
32	2.4937407633566435	6.222497554431184	2.2148867303398872e-15	0.07389027580568597
33	2.4937407633566457	5.943209847207401	2.214886730339889e-15	0.0664736142168599
34	2.493740763356648	5.657232844757858	-0.012304869970456087	0.05970394188157965
35	2.481435893386192	5.426232434316928	-0.37987261460829813	0.05081485161988395
36	2.1015632787778937	6.161061699118845	-0.5461467675957679	0.05756928276056205
37	1.5554165111821259	6.239217308491229	-0.5434946412946157	0.05204634836329172
38	1.01192186988751	6.745766427011278	-0.3485155136849478	0.055883143413242596
39	0.6634063562025623	8.274212590728958	1.0307072109739635	0.13684173065400942
40	1.6941135671765257	8.088146781519965	1.5046751108873884e-15	0.12523534137713224
41	1.6941135671765273	7.850172540621303	1.50467511088739e-15	0.11250556792211316
42	1.6941135671765288	7.598138920939679	1.5046751108873911e-15	0.10106973538212796
43	1.6941135671765304	7.332337104438782	1.5046751108873925e-15	0.0907963187856196
44	1.694113567176532	7.053257141490404	1.504675110887394e-15	0.08156716225535532
45	1.6941135671765335	8.863832747050653	0.44098937825322915	0.2467400558263854
46	2.1351029454297628	8.686199835984048	0.0601506546937503	0.22515841736894698
