	L	s	dL	gs	Anet
5815	1.4317627544392098	0.06021356091971648	1.1201436583061356e-15	0.08928596115901921	15.277315044398232
5816	1.4317627544392109	0.053821745235626994	1.1201436583061388e-15	0.0834746527774844	14.935585209120198
5817	1.431762754439212	0.0478459502962996	-0.06168176273938003	0.07655352047407936	13.947875594177523
5818	1.370080991699832	0.3397209237043536	0.3353446573689098	0.3271256610752338	19.63132037820588
5819	1.7054256490687418	0.31182649906104	0.07285000332503316	0.2960681209615789	22.80035968716515
5820	1.778275652393775	0.28550196251324245	0.03148659790795895	0.2712300999743858	23.30020262830749
5821	1.809762250301734	0.26095886270928204	0.008339157524265839	0.25059492122830557	23.372682523455154
5822	1.818101407826	0.23817851375532065	1.614798435257469e-15	0.2306503927008871	23.179059032687203
5823	1.8181014078260016	0.2172112235710655	1.6147984352574704e-15	0.21082542410050703	22.858975926084337
5824	1.8181014078260032	0.19804612355293322	1.6147984352574726e-15	0.19298878621626622	22.523214051426397
5825	1.8181014078260047	0.18050246435721196	1.614798435257474e-15	0.1789538588596891	22.219475752770922
5826	1.8181014078260063	0.1642346512207771	1.6147984352574755e-15	0.16593960835054108	21.899723130711887
5827	1.8181014078260078	0.14914989944296633	1.6147984352574761e-15	0.15374810125266766	21.55997090629611
5828	1.8181014078260094	0.1351734174760638	1.6147984352574773e-15	0.14053307376448573	21.138085907118263
5829	1.818101407826011	0.12239824851319739	1.6147984352574789e-15	0.12845391039488835	20.692421190957614
5830	1.8181014078260125	0.11072113674671225	1.6147984352574803e-15	0.11741298082891459	20.222860574661063
5831	1.818101407826014	0.24611697430004648	1.6147984352574815e-15	0.2381563569743577	23.288076169290147
5832	1.8181014078260156	0.22446735390515674	1.614798435257483e-15	0.21768623228170045	22.975452504881535
5833	1.8181014078260171	0.20467857163637168	1.614798435257484e-15	0.19897556515824869	22.64164296616729
5834	1.8181014078260187	0.1865906838795122	1.6147984352574868e-15	0.1838244344775282	22.329317513170857
5835	1.8181014078260203	0.16988011072369139	1.6147984352574882e-15	0.1704559759528714	22.01529973780937
5836	1.8181014078260218	0.15438479823107767	1.6147984352574893e-15	0.15805972595878032	21.685056817620993
5837	1.8181014078260234	0.14001636771676498	1.61479843525749e-15	0.14511217462164747	21.291320447059046
5838	1.818101407826025	0.24503476656132928	1.6147984352574911e-15	0.23713310913209273	23.273569787481065
5839	1.8181014078260265	0.22347816458356826	1.6147984352574927e-15	0.21675093510843624	22.959949106583775
5840	1.818101407826028	0.20377440557015547	1.614798435257494e-15	0.19812065907764584	22.625105325902734
5841	1.8181014078260296	0.18576423311073104	1.614798435257496e-15	0.1831632738625024	22.314695966894188
5842	1.8181014078260311	0.169113762807159	1.6147984352574976e-15	0.16984289761964463	21.999911110614576
5843	1.8181014078260327	0.15367418224358256	1.614798435257499e-15	0.15749123316878336	21.668886480886215
5844	1.8181014078260342	0.1393574306063614	1.6147984352574996e-15	0.14448913714715297	21.270933294341006
5845	1.8181014078260358	0.126222635423221	1.6147984352575008e-15	0.13206994039879524	20.83263478757603
5846	1.8181014078260374	0.11421680819469349	1.6147984352575022e-15	0.1207182041593708	20.37045691457378
5847	1.818101407826039	0.10324291134807433	1.6147984352575037e-15	0.11034217757242555	19.884412775281003
5848	1.8181014078260405	0.09321224792872343	1.6147984352575055e-15	0.10184574202993707	19.431122097728043
5849	1.818101407826042	0.08395395358043761	1.6147984352575069e-15	0.09443910655130834	18.98704643919067
5850	1.8181014078260436	0.07536895995169923	1.6147984352575085e-15	0.08757111164831759	18.52691532221293
5851	1.8181014078260451	0.06740830188306433	1.6147984352575097e-15	0.0812025851934096	18.051223540990836
